"profileId","testId","testDateUtc","testTypeId","testPositionId","notes","innerLeftAvgForce","innerLeftImpulse","innerLeftMaxForce","innerLeftRepetitions","innerRightAvgForce","innerRightImpulse","innerRightMaxForce","innerRightRepetitions","outerLeftAvgForce","outerLeftImpulse","outerLeftMaxForce","outerLeftRepetitions","outerRightAvgForce","outerRightImpulse","outerRightMaxForce","outerRightRepetitions","device","modifiedDateUtc","testTypeName","testPositionName"
"85ad3dc4-959f-4c58-a8f5-aca19fda6489","130ad9d0-c50b-49c1-8940-1871dd47730c","2024-04-10T14:20:08.163Z","0f07aed2-773f-4070-a02f-bd3854da02c0","86fad362-8254-4c1b-8495-fad6cff8f5df","",1.5,0,1.5,0,1.75,0,1.75,0,176.25,529.1850000000001,176.25,1,2,0,2,0,"ForceFrame-1226","2024-04-10T14:20:08.2852013Z","Knee Extension","Knee Extension - Standing"
"4086b184-ade6-49ac-9cb8-ac2a4598d31a","4cea981a-c944-4024-bca7-71f3b3d5a429","2024-04-10T21:44:01.992Z","0f07aed2-773f-4070-a02f-bd3854da02c0","86fad362-8254-4c1b-8495-fad6cff8f5df","",1.75,0,1.75,0,1.75,0,1.75,0,277,2134.7450000000003,277,1,250.5,2618.554999999999,250.5,1,"ForceFrame-1226","2024-04-10T21:44:02.0919089Z","Knee Extension","Knee Extension - Standing"
"a7774aec-c69b-4d6b-a296-56cbd4425f23","490a2a3c-a786-4582-a77d-556918c9d442","2024-04-10T21:49:34.614Z","fa9eef53-f8a3-4257-9d59-6533443513be","0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd","",264.95,2565.545000000001,488.5,5,244.83333333333337,2587.600000000001,482.5,6,306.5833333333333,2393.0750000000007,399.5,3,331.58333333333337,2624.545,443.5,3,"ForceFrame-1226","2024-04-10T21:49:34.7730433Z","Hip AD/AB","Hip AD/AB - 45"
"ce46585f-d946-42d9-9d6e-6f6a7ad45946","8daeca29-03a4-44ba-a691-a74537707740","2024-04-10T22:01:58.988Z","9d6a2d9b-08f1-41d4-a5ff-253afc68b1a9","50ddc804-7d0a-4bb8-b030-264358708736","",141.16666666666666,800.9749999999997,167.75,3,141.66666666666666,828.5300000000004,160.75,3,147.66666666666666,801.2099999999999,170.5,3,141,800.84,187.25,3,"ForceFrame-1226","2024-04-10T22:01:59.2655977Z","Shoulder IR/ER","Shoulder IR/ER - Supine (Neutral)"
"7cb864d5-b3fa-4d3a-b539-502c828fa56b","815cd182-44a8-4b99-9755-8703958d3f6a","2024-04-10T22:06:16.294Z","fa9eef53-f8a3-4257-9d59-6533443513be","0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd","",283.75,1004.115,310,2,285.75,888.8550000000001,302,2,377,1968.5199999999995,382.25,2,380.125,2010.2200000000007,387.75,2,"ForceFrame-1226","2024-04-10T22:06:16.5124684Z","Hip AD/AB","Hip AD/AB - 45"
"bd6dd45e-a2c7-452c-bb89-6f4acecad710","1e29295e-3a38-40a4-8efa-8c4a9843b8bb","2024-04-10T22:10:56.570Z","fa9eef53-f8a3-4257-9d59-6533443513be","0193ca1d-89fb-480e-b2bc-b5e5d8cb52dd","",378.875,1573.17,418.5,2,322.125,1325.7300000000002,355.75,2,341.375,1455.8050000000003,359,2,336.875,1426.7100000000003,362,2,"ForceFrame-1226","2024-04-10T22:10:56.7790455Z","Hip AD/AB","Hip AD/AB - 45"
"7cb864d5-b3fa-4d3a-b539-502c828fa56b","70f8294c-8a32-4888-b546-a1f717a2e9db","2024-04-10T22:21:33.891Z","d1fb9cc4-cf1d-438c-9f13-950703cb785c","b762c381-71a7-45f8-83f9-fbfa50f7e7a2","",128.625,732.5050000000001,131.75,2,106,582.035,108.75,2,87.25,389.0449999999999,93.25,2,90.625,409.2800000000001,93,2,"ForceFrame-1226","2024-04-10T22:21:34.0331575Z","Hip IR/ER","Hip IR/ER - Prone"
"048fd8b9-a3be-499e-a1c2-d7f688b2f4f9","366607ec-c752-4842-90cb-a5997fedbd52","2024-04-11T14:39:04.718Z","fa9eef53-f8a3-4257-9d59-6533443513be","d3a13478-a0d8-4d89-b347-c28e310f25f7","",334.5,1591.6799999999998,344.5,2,412.875,1944.2150000000006,413.5,2,371.75,1768.44,375.25,2,326.25,1531.1400000000003,327.75,2,"ForceFrame-1226","2024-04-11T14:39:04.8620599Z","Hip AD/AB","Hip AD/AB - Seated"
"048fd8b9-a3be-499e-a1c2-d7f688b2f4f9","49eeee8b-602a-42ef-930a-dace88522cb8","2024-04-11T14:42:10.317Z","d1fb9cc4-cf1d-438c-9f13-950703cb785c","b762c381-71a7-45f8-83f9-fbfa50f7e7a2","",80.75,403.65999999999997,80.75,1,81,304.03499999999997,81,1,83.58333333333333,401.9799999999999,89.75,3,41.5,141.07,41.5,0,"ForceFrame-1226","2024-04-11T14:42:10.5296377Z","Hip IR/ER","Hip IR/ER - Prone"
"048fd8b9-a3be-499e-a1c2-d7f688b2f4f9","164b8505-9f65-4fa7-a0f3-3302a53f32c9","2024-04-11T14:46:12.741Z","9d6a2d9b-08f1-41d4-a5ff-253afc68b1a9","7b460eef-47d2-4fd9-b1e9-348a93e49912","",129.75,638.1799999999998,132.25,2,137.125,669.84,145.5,2,115.625,634.7399999999998,129.5,2,128.375,577.8450000000001,142.5,2,"ForceFrame-1226","2024-04-11T14:46:12.9645501Z","Shoulder IR/ER","Shoulder IR/ER - Supine (90 Degrees AB)"
